0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,-2
0,-3
-1,-5
-1,-7
-2,-9
-2,-9
-3,-12
-3,-14
-3,-16
-3,-19
-3,-21
-3,-23
-3,-25
-3,-26
-3,-27
-3,-28
-3,-29
-3,-31
-3,-32
-3,-32
-3,-34
-3,-36
-3,-37
-3,-38
-3,-40
-3,-42
-3,-43
-3,-44
-3,-46
-3,-47
-3,-49
-3,-50
-3,-50
-3,-51
-3,-52
-3,-53
-3,-53
-3,-54
-3,-54
-3,-55
-3,-55
-3,-55
-3,-55
-3,-56
-3,-56
-3,-56
-3,-56
-3,-56
-3,-56
-3,-56
-3,-56
-3,-56
-3,-56
-3,-56
-3,-56
-3,-57
-3,-57
-3,-58
-3,-58
-3,-58
-3,-58
-3,-59
-3,-59
-3,-59
-3,-59
-3,-59
-3,-59
-4,-60
-4,-60
-5,-61
-6,-62
-7,-62
-7,-62
-8,-62
-8,-62
-8,-62
-9,-62
-9,-62
-9,-62
-10,-62
-11,-63
-12,-63
-13,-63
-13,-63
-14,-63
-14,-63
-15,-63
-15,-63
-16,-63
-16,-63
-17,-63
-18,-63
-19,-63
-20,-63
-20,-63
-21,-63
-21,-63
-21,-63
-22,-63
-23,-63
-23,-63
-24,-63
-24,-63
-25,-63
-25,-63
-26,-63
-26,-63
-26,-63
-26,-63
-26,-63
-26,-63
-27,-63
-27,-63
-27,-63
-27,-62
-27,-62
-27,-62
-27,-62
-27,-61
-27,-61
-27,-60
-27,-60
-27,-59
-27,-58
-27,-58
-27,-57
-27,-56
-27,-56
-27,-55
-27,-54
-27,-53
-27,-52
-27,-51
-26,-50
-26,-48
-26,-47
-26,-46
-26,-45
-26,-44
-26,-44
-25,-43
-25,-43
-25,-42
-24,-41
-23,-40
-22,-39
-22,-38
-21,-38
-21,-38
-21,-37
-21,-36
-20,-35
-20,-34
-20,-33
-19,-32
-19,-32
-18,-31
-18,-31
-18,-30
-17,-30
-17,-29
-16,-28
-15,-28
-15,-27
-15,-27
-14,-26
-13,-26
-11,-26
-10,-26
-10,-26
-9,-26
-9,-26
-9,-26
-9,-26
-9,-26
-8,-26
-7,-26
-6,-26
-5,-26
-5,-27
-4,-27
-4,-28
-3,-29
-3,-30
-3,-31
-3,-32
-3,-32
-2,-32
-2,-33
-2,-34
-2,-35
-2,-36
-2,-37
-2,-37
-2,-38
-2,-38
-2,-38
-2,-39
-2,-40
-2,-41
-2,-42
-2,-42
-3,-44
-3,-44
-3,-45
-3,-46
-3,-46
-3,-47
-3,-48
-3,-50
-3,-50
-3,-50
-3,-51
-3,-52
-4,-53
-4,-54
-4,-55
-4,-56
-5,-56
-5,-57
-5,-57
-5,-58
-5,-58
-5,-59
-6,-60
-6,-60
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-61
-6,-62
-6,-62
-6,-62
-6,-63
-6,-64
-6,-64
-6,-64
-6,-65
-6,-66
-6,-67
-6,-68
-6,-68
-6,-69
-6,-70
-6,-72
-6,-74
-5,-75
-5,-76
-4,-78
-4,-79
-3,-80
-3,-81
-2,-82
-1,-83
1,-84
2,-85
3,-85
3,-85
4,-86
5,-86
5,-87
6,-87
6,-88
7,-88
7,-89
8,-89
9,-90
9,-90
10,-91
11,-91
12,-91
13,-91
14,-91
15,-91
15,-91
16,-91
17,-92
18,-92
20,-93
21,-93
21,-93
21,-93
21,-93
22,-92
23,-92
23,-92
23,-91
24,-91
25,-91
26,-91
26,-91
26,-90
27,-90
27,-90
28,-89
29,-89
30,-88
30,-88
31,-88
31,-88
32,-87
32,-87
